City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
88,lismore,-28.81,153.28,68.0,68,40,10.29,AU,1589437713
89,hilo,19.73,-155.09,75.2,73,1,3.36,US,1589437592
90,naliya,23.27,68.83,92.52,43,13,14.29,IN,1589437713
91,vao,-22.67,167.48,73.11,74,22,13.0,NC,1589437713
92,atuona,-9.8,-139.03,81.59,79,61,16.53,PF,1589437714
93,maple creek,49.92,-109.48,40.93,70,51,7.23,CA,1589437714
94,ribeira grande,38.52,-28.7,58.28,70,62,3.71,PT,1589437714
95,sikandra rao,27.7,78.4,104.34,17,0,3.22,IN,1589437714
96,lorengau,-2.02,147.27,86.0,71,11,8.43,PG,1589437714
97,cividale del friuli,46.09,13.43,63.0,93,68,2.17,IT,1589437714
98,meulaboh,4.14,96.13,87.89,63,99,6.17,ID,1589437714
99,isangel,-19.55,169.27,73.17,63,7,5.97,VU,1589437715
100,klaksvik,62.23,-6.59,39.2,86,83,8.32,FO,1589437119
101,kabo,7.7,18.63,75.7,86,55,5.12,CF,1589437715
102,catamarca,-28.47,-65.79,54.14,55,62,8.77,AR,1589437715
103,guerrero negro,27.98,-114.06,62.08,75,55,17.0,MX,1589437715
104,tsiroanomandidy,-18.77,46.03,67.69,81,61,2.06,MG,1589437715
105,lieksa,63.32,30.02,40.06,67,6,5.48,FI,1589437716
106,vila franca do campo,37.72,-25.43,53.6,71,20,10.29,PT,1589437716
107,taoudenni,22.68,-3.98,81.57,16,0,9.75,ML,1589437716
108,mahebourg,-20.41,57.7,77.0,73,40,12.75,MU,1589437716
109,andenes,69.31,16.12,35.6,74,20,9.17,NO,1589437716
110,vila velha,-20.33,-40.29,73.4,83,42,8.05,BR,1589437716
111,arauca,7.08,-70.76,73.99,95,98,3.15,CO,1589437716
112,samarai,-10.62,150.67,81.25,78,13,7.11,PG,1589437717
113,asyut,27.18,31.18,78.8,39,75,4.7,EG,1589437595
114,port lincoln,-34.73,135.87,56.73,49,65,4.88,AU,1589437634
115,marsh harbour,26.54,-77.06,73.33,78,91,24.11,BS,1589437717
116,mackenzie,55.3,-123.17,52.99,49,86,3.65,CA,1589437717
117,beringovskiy,63.05,179.32,32.07,99,100,19.01,RU,1589437717
118,saint-pierre,-21.34,55.48,80.6,51,46,5.82,RE,1589437718
119,fort nelson,58.81,-122.7,31.41,96,100,6.44,CA,1589437718
120,saskylakh,71.92,114.08,32.07,97,83,9.01,RU,1589437718
121,progreso,21.28,-89.67,82.4,74,40,11.41,MX,1589437718
122,axim,4.87,-2.24,79.21,84,10,1.92,GH,1589437718
123,sorland,67.67,12.69,37.4,86,40,5.75,NO,1589437718
124,harper,4.38,-7.72,80.04,83,13,3.18,LR,1589437718
125,flinders,-34.58,150.86,62.01,61,85,3.0,AU,1589437492
126,luzhou,28.87,105.44,77.18,61,75,5.53,CN,1589437719
127,berlevag,70.86,29.09,35.6,96,75,36.91,NO,1589437719
128,north myrtle beach,33.82,-78.68,66.2,63,1,4.7,US,1589437719
129,bonthe,7.53,-12.51,79.84,84,26,2.48,SL,1589437719
130,avarua,-21.21,-159.78,77.0,94,18,3.36,CK,1589437719
131,georgetown,5.41,100.34,91.0,70,40,11.41,MY,1589437447
132,lompoc,34.64,-120.46,59.0,87,90,8.05,US,1589437720
133,wilhelmsburg,48.11,15.61,50.0,95,100,1.99,AT,1589437720
134,hobyo,5.35,48.53,86.92,62,42,14.05,SO,1589437720
135,zirandaro,18.45,-100.98,82.54,38,0,3.31,MX,1589437720
136,kavieng,-2.57,150.8,84.69,72,28,5.79,PG,1589437720
137,arlit,18.74,7.39,84.54,12,15,7.7,NE,1589437720
